bundle,game_object_id,mono_id,path,name,layer,local_position,world_position,block_type,is_gamepad_cursor_movable,collider_type,is_trigger,collider_center,collider_size
battle/map/battle001.unity3d,300,1170,MapTool/Map/block_root/emptyblock/enter/empty 3_-1,empty 3_-1,24,"3,2,-1","3,2,-1",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,299,1171,MapTool/Map/block_root/emptyblock/enter/empty 6_1,empty 6_1,24,"6,2.4,1","6,2.4,1",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,301,1172,MapTool/Map/block_root/emptyblock/enter/empty 0_0,empty 0_0,24,"0,0,0","0,0,0",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,293,1173,MapTool/Map/block_root/emptyblock/noenter/empty 4_4,empty 4_4,24,"4,-1.6,4","4,-1.6,4",27,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,298,1174,MapTool/Map/block_root/emptyblock/enter/empty 2_0,empty 2_0,24,"2,0.4,0","2,0.4,0",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,294,1175,MapTool/Map/block_root/emptyblock/enter/empty 1_-2,empty 1_-2,24,"1,0,-2","1,0,-2",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,297,1176,MapTool/Map/block_root/emptyblock/enter/empty 10_-1,empty 10_-1,24,"10,2.8,-1","10,2.8,-1",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,296,1177,MapTool/Map/block_root/emptyblock/noenter/empty 11_2,empty 11_2,24,"11,2,2","11,2,2",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,295,1178,MapTool/Map/block_root/emptyblock/noenter/empty 12_0,empty 12_0,24,"12,2,0","12,2,0",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,310,1179,MapTool/Map/block_root/emptyblock/noenter/empty 5_4,empty 5_4,24,"5,-1.6,4","5,-1.6,4",27,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,307,1180,MapTool/Map/block_root/emptyblock/noenter/empty 0_2,empty 0_2,24,"0,-1.6,2","0,-1.6,2",27,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,308,1181,MapTool/Map/block_root/emptyblock/enter/empty 6_-2,empty 6_-2,24,"6,2.4,-2","6,2.4,-2",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,309,1182,MapTool/Map/block_root/emptyblock/noenter/empty 3_-4,empty 3_-4,24,"3,-1.6,-4","3,-1.6,-4",27,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,311,1183,MapTool/Map/block_root/emptyblock/noenter/empty 10_2,empty 10_2,24,"10,2,2","10,2,2",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,303,1184,MapTool/Map/block_root/emptyblock/enter/empty 7_2,empty 7_2,24,"7,3.2,2","7,3.2,2",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,302,1185,MapTool/Map/block_root/emptyblock/enter/empty 10_0,empty 10_0,24,"10,2.8,0","10,2.8,0",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,306,1186,MapTool/Map/block_root/emptyblock/noenter/empty 8_4,empty 8_4,24,"8,-1.6,4","8,-1.6,4",27,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,304,1187,MapTool/Map/block_root/emptyblock/enter/empty 5_0,empty 5_0,24,"5,2.4,0","5,2.4,0",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,305,1188,MapTool/Map/block_root/emptyblock/noenter/empty 10_-2,empty 10_-2,24,"10,2,-2","10,2,-2",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,312,1189,MapTool/Map/block_root/emptyblock/enter/empty 5_-3,empty 5_-3,24,"5,2,-3","5,2,-3",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,315,1190,MapTool/Map/block_root/emptyblock/enter/empty 7_3,empty 7_3,24,"7,2.8,3","7,2.8,3",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,313,1191,MapTool/Map/block_root/emptyblock/noenter/empty 6_4,empty 6_4,24,"6,-1.6,4","6,-1.6,4",27,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,314,1192,MapTool/Map/block_root/emptyblock/enter/empty 8_3,empty 8_3,24,"8,3.2,3","8,3.2,3",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,319,1193,MapTool/Map/block_root/emptyblock/enter/empty 5_-2,empty 5_-2,24,"5,2,-2","5,2,-2",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,320,1194,MapTool/Map/block_root/emptyblock/enter/empty 7_0,empty 7_0,24,"7,2.8,0","7,2.8,0",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,318,1195,MapTool/Map/block_root/emptyblock/noenter/empty 2_-3,empty 2_-3,24,"2,-1.6,-3","2,-1.6,-3",27,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,321,1196,MapTool/Map/block_root/emptyblock/noenter/empty 9_-2,empty 9_-2,24,"9,2,-2","9,2,-2",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/battle001.unity3d,322,1197,MapTool/Map/block_root/emptyblock/enter/empty 0_1,empty 0_1,24,"0,0.4,1","0,0.4,1",11,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
