bundle,type,count,error
atlas/scenario_atlas.unity3d,Sprite,33,
atlas/scenario_atlas.unity3d,SpriteAtlas,1,
atlas/scenario_atlas.unity3d,AssetBundle,1,
atlas/scenario_atlas.unity3d,Texture2D,1,
scenario/dialogue.unity3d,MonoBehaviour,1934,
scenario/dialogue.unity3d,GameObject,1074,
scenario/dialogue.unity3d,RectTransform,1071,
scenario/dialogue.unity3d,CanvasRenderer,823,
scenario/dialogue.unity3d,CanvasGroup,218,
scenario/dialogue.unity3d,Animator,92,
scenario/dialogue.unity3d,Sprite,57,
scenario/dialogue.unity3d,MonoScript,52,
scenario/dialogue.unity3d,AnimationClip,34,
scenario/dialogue.unity3d,AnimatorController,21,
scenario/dialogue.unity3d,PlayableDirector,19,
scenario/dialogue.unity3d,Material,6,
scenario/dialogue.unity3d,Texture2D,3,
scenario/dialogue.unity3d,Transform,3,
scenario/dialogue.unity3d,Canvas,2,
scenario/dialogue.unity3d,PreloadData,1,
scenario/dialogue.unity3d,AssetBundle,1,
scenario/dialogue.unity3d,Cubemap,1,
scenario/dialogue.unity3d,AudioSource,1,
scenario/dialogue.unity3d,RenderSettings,1,
scenario/dialogue.unity3d,Animation,1,
scenario/dialogue.unity3d,LightmapSettings,1,
scenario/dialogue.unity3d,NavMeshSettings,1,
scenario/scenario_alm-mk-da00101.unity3d,AnimationClip,483,
scenario/scenario_alm-mk-da00101.unity3d,GameObject,174,
scenario/scenario_alm-mk-da00101.unity3d,Transform,158,
scenario/scenario_alm-mk-da00101.unity3d,MonoBehaviour,116,
scenario/scenario_alm-mk-da00101.unity3d,MonoScript,42,
scenario/scenario_alm-mk-da00101.unity3d,Animator,24,
scenario/scenario_alm-mk-da00101.unity3d,ParticleSystem,21,
scenario/scenario_alm-mk-da00101.unity3d,ParticleSystemRenderer,21,
scenario/scenario_alm-mk-da00101.unity3d,MeshRenderer,19,
scenario/scenario_alm-mk-da00101.unity3d,MeshFilter,19,
scenario/scenario_alm-mk-da00101.unity3d,Material,18,
scenario/scenario_alm-mk-da00101.unity3d,RectTransform,16,
scenario/scenario_alm-mk-da00101.unity3d,SpriteRenderer,12,
scenario/scenario_alm-mk-da00101.unity3d,CanvasRenderer,9,
scenario/scenario_alm-mk-da00101.unity3d,PlayableDirector,6,
scenario/scenario_alm-mk-da00101.unity3d,AnimatorController,5,
scenario/scenario_alm-mk-da00101.unity3d,BoxCollider,5,
scenario/scenario_alm-mk-da00101.unity3d,TextAsset,4,
scenario/scenario_alm-mk-da00101.unity3d,Camera,2,
scenario/scenario_alm-mk-da00101.unity3d,PreloadData,1,
scenario/scenario_alm-mk-da00101.unity3d,AssetBundle,1,
scenario/scenario_alm-mk-da00101.unity3d,Sprite,1,
scenario/scenario_alm-mk-da00101.unity3d,RenderSettings,1,
scenario/scenario_alm-mk-da00101.unity3d,LightmapSettings,1,
scenario/scenario_alm-mk-da00101.unity3d,NavMeshSettings,1,
scenario/scenario_alm-mk-da00101.unity3d,Canvas,1,
scenario/scenario_alm-mk-da00101.unity3d,LightingSettings,1,
scenario/scenario_alm-os-da00102.unity3d,AnimationClip,647,
scenario/scenario_alm-os-da00102.unity3d,MonoBehaviour,291,
scenario/scenario_alm-os-da00102.unity3d,GameObject,161,
scenario/scenario_alm-os-da00102.unity3d,Transform,121,
scenario/scenario_alm-os-da00102.unity3d,MonoScript,58,
scenario/scenario_alm-os-da00102.unity3d,RectTransform,40,
scenario/scenario_alm-os-da00102.unity3d,Animator,27,
