path_id,type,game_object,enabled,is_trigger,center,size
1000,MeshCollider,231,True,False,,
1001,MeshCollider,91,True,False,,
1002,MeshCollider,101,True,False,,
1003,BoxCollider,55,False,False,"0.0,0.0,0.0","1.0,1.0,1.0"
1004,BoxCollider,69,False,False,"0.0,0.0,0.0","1.0,1.0,1.0"
1005,BoxCollider,76,False,False,"0.0,0.0,0.0","1.0,1.0,1.0"
1006,BoxCollider,191,True,False,"0.0,0.0,0.0","1.0,1.0,1.0"
1007,BoxCollider,297,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1008,BoxCollider,296,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1009,BoxCollider,295,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1010,BoxCollider,291,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1011,BoxCollider,293,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1012,BoxCollider,292,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1013,BoxCollider,294,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1014,BoxCollider,288,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1015,BoxCollider,289,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1016,BoxCollider,290,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1017,BoxCollider,286,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1018,BoxCollider,287,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1019,BoxCollider,282,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1020,BoxCollider,283,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1021,BoxCollider,284,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1022,BoxCollider,285,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1023,BoxCollider,278,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1024,BoxCollider,277,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1025,BoxCollider,280,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1026,BoxCollider,279,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1027,BoxCollider,281,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1028,BoxCollider,275,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1029,BoxCollider,276,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1030,BoxCollider,274,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1031,BoxCollider,272,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1032,BoxCollider,273,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1033,BoxCollider,271,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1034,BoxCollider,268,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1035,BoxCollider,269,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1036,BoxCollider,270,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1037,BoxCollider,267,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1038,BoxCollider,266,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1039,BoxCollider,263,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1040,BoxCollider,264,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1041,BoxCollider,265,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
1064,CapsuleCollider,34,False,False,"5.960464477539063e-08,0.0,-8.940696716308594e-08",
1065,CapsuleCollider,50,False,False,"5.960464477539063e-08,0.0,-8.940696716308594e-08",
1066,CapsuleCollider,60,False,False,"5.960464477539063e-08,0.0,-8.940696716308594e-08",
