path_id,type,name,tag,layer,component_count,game_object,local_position,local_scale
12,GameObject,Cube (4),,0,3,,,
13,GameObject,Point Light (4),,0,3,,,
14,GameObject,Cube,,0,3,,,
15,GameObject,NoEntrance,,0,2,,,
16,GameObject,Cube (3),,0,3,,,
17,GameObject,Cube,,0,3,,,
18,GameObject,fangdaoshuibei (1),,0,3,,,
19,GameObject,Light (6),,0,3,,,
20,GameObject,Particle System (1),,0,3,,,
21,GameObject,Lighting_bake,,0,1,,,
22,GameObject,Cylinder (1),,9,3,,,
23,GameObject,light01,,0,3,,,
24,GameObject,Particle System (1),,0,3,,,
25,GameObject,Cylinder (5),,9,3,,,
26,GameObject,shadowonly (1),,9,3,,,
27,GameObject,UI,,9,1,,,
28,GameObject,Cylinder (1),,9,3,,,
29,GameObject,Volumetric Light Beam (2),,26,3,,,
30,GameObject,NMS-alm-arena-00101,,0,2,,,
31,GameObject,Light (7),,0,3,,,
32,GameObject,fire (8),,0,3,,,
33,GameObject,Cylinder (2),,9,3,,,
34,GameObject,Cylinder (2),,0,4,,,
35,GameObject,Light (4),,0,3,,,
36,GameObject,Cube (7),,0,3,,,
37,GameObject,Volumetric Light Beam (1),,26,3,,,
38,GameObject,Auxlight (21),,0,3,,,
39,GameObject,block_root,,0,1,,,
40,GameObject,Cylinder (6),,9,3,,,
41,GameObject,MainLight_bake,,0,3,,,
42,GameObject,Cube (2),,0,3,,,
43,GameObject,Particle System (1),,0,3,,,
44,GameObject,sound_2D,,0,3,,,
45,GameObject,fire (8),,0,3,,,
46,GameObject,Cube (6),,0,3,,,
47,GameObject,RainOptimized,,0,3,,,
48,GameObject,Cylinder (2),,9,3,,,
49,GameObject,Light (5),,0,3,,,
50,GameObject,Cylinder,,0,4,,,
51,GameObject,Cube (5),,0,3,,,
52,GameObject,MainLight_bake (1),,0,3,,,
53,GameObject,bakelight,,0,2,,,
54,GameObject,Auxlight (20),,0,3,,,
55,GameObject,Cube (1),,0,4,,,
56,GameObject,Light (2),,0,3,,,
57,GameObject,Volumetric Light Beam,,26,3,,,
58,GameObject,Cylinder (5),,9,3,,,
59,GameObject,Point Light,,0,3,,,
60,GameObject,Cylinder (1),,0,4,,,
61,GameObject,MapTool,,0,1,,,
62,GameObject,floor_material,,0,3,,,
63,GameObject,fire (8),,0,3,,,
64,GameObject,Map,,0,4,,,
65,GameObject,fire (8),,0,3,,,
66,GameObject,Cube (1),,0,3,,,
67,GameObject,Light (7),,0,3,,,
68,GameObject,props_root,,9,2,,,
69,GameObject,Cube,,0,4,,,
70,GameObject,Volumetric Light Beam (3),,26,3,,,
71,GameObject,light-adjust,,0,2,,,
72,GameObject,ShadowOnly-r,,0,1,,,
73,GameObject,Light (6),,0,3,,,
74,GameObject,effect,,0,2,,,
75,GameObject,rainparticle,,0,1,,,
76,GameObject,Cube,,0,4,,,
77,GameObject,Cube (7),,0,3,,,
78,GameObject,realtime,,0,2,,,
79,GameObject,Point Light (5),,0,3,,,
80,GameObject,ShadowOnly-b,,0,1,,,
81,GameObject,indicator,,0,1,,,
82,GameObject,Cylinder (3),,9,3,,,
83,GameObject,Point Light (2),,0,3,,,
84,GameObject,particle_light,,0,3,,,
85,GameObject,Spot light,,0,3,,,
86,GameObject,Cube (5),,0,3,,,
