parent,count,bytes
audio,583,145931015
battle/map,492,570287319
scenario,344,167104328
scenario/scene,271,324580051
scenario/ending_mask,149,65352188
share/playable,98,2787311
capital/setting_group,86,7557500
icon/missiondetail,72,7490537
minisandbox/map,62,63789512
audio/cn,60,155845
audio/jp,60,155290
audio/kr,60,154895
dreamlands/prefab/building,40,563799
scene/weather,34,124627
icon/map02,33,20555817
icon/bg,31,17113381
icon/activitybigstage2,29,6329090
icon/activitybigstage1,27,22359230
capital/map,23,43553546
ui/operation_activity,20,4484805
atlas,12,3416901
icon/modulebosschallange,12,3414669
share/anim,12,90919
icon/map,10,25947787
infinitechallenge/map,10,12471812
ui,10,13134585
dreamlands/map,8,12614782
movie,7,16406949
icon/activityworldboss,6,3141277
icon/moduleafk,5,2254844
ui/gacha_ad,5,235540
ui/quest_questnodes,5,376033
dreamlands/prefab/furniture,4,6716592
dreamlands/prefab/furniture_ui,4,140221
icon/sandboxelaman,4,3178706
worldboss/map,4,1770618
localization/en,2,278103
localization/en/atlas,2,197008
localization/ja,2,272264
localization/ja/atlas,2,210766
localization/ko,2,268690
localization/ko/atlas,2,184231
scene,2,3258145
battle/block,1,85327
dreamlands/prefab,1,1347524
icon/activitybig03,1,45983
icon/activitybigluccia,1,1245367
icon/faction_map,1,21384
icon/operationactivity_append_skin_01,1,31053
icon/scenario_storybg,1,1820049
icon/stageprops,1,462811
icon/stageprops_face,1,4750
newui,1,1073725
ui/activity_nodes,1,150967
ui/onlinebattlepass_nodes,1,104676
