script,count
BlockProperty,7510
UniversalAdditionalLightData,622
ParticleQuality,91
script:6867360251947594959,64
UniversalAdditionalCameraData,56
RandomStartAnim,46
script:-8526694666757663789,35
SplitToning,31
VolumeProfile,31
LiftGammaGain,31
Bloom,31
ColorAdjustments,31
Volume,31
SetHeightFogGlobals,30
LightAdjustment,30
CameraStackPreset,30
SpriteCamera,30
CameraSwitch,30
CameraHotZoneHelper,30
LightProbesContainer,30
MapProperty,30
MapTool,30
TimeOfDay,30
CinemachineBrain,30
DepthOfField,29
PingpongTransformAsset,28
PingpongTransformManager,28
Vignette,8
BlockManager,5
VolumetricDustParticles,5
VolumetricLightBeam,5
Tonemapping,4
script:1206983720893999492,4
ColorLookup,3
PlayAniTest,1
MotionBlur,1
