bundle,script,count,error
battle/map/battle000_001.unity3d,BlockProperty,222,
battle/map/battle000_001.unity3d,UniversalAdditionalLightData,37,
battle/map/battle000_001.unity3d,ParticleQuality,9,
battle/map/battle000_001.unity3d,UniversalAdditionalCameraData,2,
battle/map/battle000_001.unity3d,SplitToning,1,
battle/map/battle000_001.unity3d,Tonemapping,1,
battle/map/battle000_001.unity3d,Vignette,1,
battle/map/battle000_001.unity3d,VolumeProfile,1,
battle/map/battle000_001.unity3d,LiftGammaGain,1,
battle/map/battle000_001.unity3d,ColorLookup,1,
battle/map/battle000_001.unity3d,DepthOfField,1,
battle/map/battle000_001.unity3d,Bloom,1,
battle/map/battle000_001.unity3d,ColorAdjustments,1,
battle/map/battle000_001.unity3d,PingpongTransformAsset,1,
battle/map/battle000_001.unity3d,SetHeightFogGlobals,1,
battle/map/battle000_001.unity3d,PingpongTransformManager,1,
battle/map/battle000_001.unity3d,LightAdjustment,1,
battle/map/battle000_001.unity3d,Volume,1,
battle/map/battle000_001.unity3d,BlockManager,1,
battle/map/battle000_001.unity3d,CameraStackPreset,1,
battle/map/battle000_001.unity3d,SpriteCamera,1,
battle/map/battle000_001.unity3d,CameraSwitch,1,
battle/map/battle000_001.unity3d,CameraHotZoneHelper,1,
battle/map/battle000_001.unity3d,LightProbesContainer,1,
battle/map/battle000_001.unity3d,MapProperty,1,
battle/map/battle000_001.unity3d,MapTool,1,
battle/map/battle000_001.unity3d,TimeOfDay,1,
battle/map/battle000_001.unity3d,CinemachineBrain,1,
battle/map/battle000_002.unity3d,BlockProperty,173,
battle/map/battle000_002.unity3d,script:6867360251947594959,33,
battle/map/battle000_002.unity3d,ParticleQuality,5,
battle/map/battle000_002.unity3d,script:1206983720893999492,2,
battle/map/battle000_002.unity3d,SplitToning,1,
battle/map/battle000_002.unity3d,VolumeProfile,1,
battle/map/battle000_002.unity3d,LiftGammaGain,1,
battle/map/battle000_002.unity3d,Bloom,1,
battle/map/battle000_002.unity3d,ColorAdjustments,1,
battle/map/battle000_002.unity3d,Vignette,1,
battle/map/battle000_002.unity3d,PingpongTransformAsset,1,
battle/map/battle000_002.unity3d,LightAdjustment,1,
battle/map/battle000_002.unity3d,SetHeightFogGlobals,1,
battle/map/battle000_002.unity3d,PingpongTransformManager,1,
battle/map/battle000_002.unity3d,RandomStartAnim,1,
battle/map/battle000_002.unity3d,BlockManager,1,
battle/map/battle000_002.unity3d,Volume,1,
battle/map/battle000_002.unity3d,CameraStackPreset,1,
battle/map/battle000_002.unity3d,SpriteCamera,1,
battle/map/battle000_002.unity3d,CameraSwitch,1,
battle/map/battle000_002.unity3d,CameraHotZoneHelper,1,
battle/map/battle000_002.unity3d,LightProbesContainer,1,
battle/map/battle000_002.unity3d,MapProperty,1,
battle/map/battle000_002.unity3d,MapTool,1,
battle/map/battle000_002.unity3d,TimeOfDay,1,
battle/map/battle000_002.unity3d,CinemachineBrain,1,
battle/map/battle000_003.unity3d,BlockProperty,132,
battle/map/battle000_003.unity3d,UniversalAdditionalLightData,13,
battle/map/battle000_003.unity3d,ParticleQuality,6,
battle/map/battle000_003.unity3d,UniversalAdditionalCameraData,2,
battle/map/battle000_003.unity3d,PingpongTransformAsset,1,
battle/map/battle000_003.unity3d,SplitToning,1,
battle/map/battle000_003.unity3d,Tonemapping,1,
battle/map/battle000_003.unity3d,Vignette,1,
battle/map/battle000_003.unity3d,VolumeProfile,1,
battle/map/battle000_003.unity3d,LiftGammaGain,1,
battle/map/battle000_003.unity3d,ColorLookup,1,
battle/map/battle000_003.unity3d,DepthOfField,1,
battle/map/battle000_003.unity3d,Bloom,1,
battle/map/battle000_003.unity3d,ColorAdjustments,1,
battle/map/battle000_003.unity3d,SetHeightFogGlobals,1,
battle/map/battle000_003.unity3d,RandomStartAnim,1,
battle/map/battle000_003.unity3d,PingpongTransformManager,1,
battle/map/battle000_003.unity3d,VolumetricDustParticles,1,
battle/map/battle000_003.unity3d,VolumetricLightBeam,1,
battle/map/battle000_003.unity3d,Volume,1,
battle/map/battle000_003.unity3d,BlockManager,1,
battle/map/battle000_003.unity3d,CameraStackPreset,1,
battle/map/battle000_003.unity3d,SpriteCamera,1,
battle/map/battle000_003.unity3d,LightAdjustment,1,
battle/map/battle000_003.unity3d,CameraSwitch,1,
battle/map/battle000_003.unity3d,CameraHotZoneHelper,1,
battle/map/battle000_003.unity3d,LightProbesContainer,1,
battle/map/battle000_003.unity3d,MapProperty,1,
battle/map/battle000_003.unity3d,MapTool,1,
battle/map/battle000_003.unity3d,TimeOfDay,1,
battle/map/battle000_003.unity3d,CinemachineBrain,1,
battle/map/battle000_004.unity3d,BlockProperty,195,
battle/map/battle000_004.unity3d,script:6867360251947594959,31,
battle/map/battle000_004.unity3d,ParticleQuality,5,
battle/map/battle000_004.unity3d,script:1206983720893999492,2,
battle/map/battle000_004.unity3d,SplitToning,1,
battle/map/battle000_004.unity3d,VolumeProfile,1,
battle/map/battle000_004.unity3d,LiftGammaGain,1,
battle/map/battle000_004.unity3d,Bloom,1,
battle/map/battle000_004.unity3d,ColorAdjustments,1,
battle/map/battle000_004.unity3d,Vignette,1,
battle/map/battle000_004.unity3d,PingpongTransformAsset,1,
battle/map/battle000_004.unity3d,SetHeightFogGlobals,1,
battle/map/battle000_004.unity3d,LightAdjustment,1,
