path_id,type,game_object,enabled,is_trigger,center,size
2075,MeshCollider,380,True,False,,
2076,MeshCollider,353,True,False,,
2077,MeshCollider,686,True,False,,
2078,MeshCollider,684,True,False,,
2079,MeshCollider,355,True,False,,
2080,BoxCollider,659,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2081,BoxCollider,664,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2082,BoxCollider,663,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2083,BoxCollider,662,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2084,BoxCollider,661,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2085,BoxCollider,660,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2086,BoxCollider,666,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2087,BoxCollider,665,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2088,BoxCollider,667,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2089,BoxCollider,668,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2090,BoxCollider,669,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2091,BoxCollider,670,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2092,BoxCollider,671,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2093,BoxCollider,674,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2094,BoxCollider,672,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2095,BoxCollider,673,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2096,BoxCollider,641,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2097,BoxCollider,642,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2098,BoxCollider,640,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2099,BoxCollider,643,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2100,BoxCollider,647,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2101,BoxCollider,646,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2102,BoxCollider,645,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2103,BoxCollider,644,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2104,BoxCollider,650,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2105,BoxCollider,648,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2106,BoxCollider,649,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2107,BoxCollider,652,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2108,BoxCollider,651,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2109,BoxCollider,655,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2110,BoxCollider,654,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2111,BoxCollider,653,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2112,BoxCollider,657,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2113,BoxCollider,656,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2114,BoxCollider,658,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2115,BoxCollider,627,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2116,BoxCollider,626,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2117,BoxCollider,625,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2118,BoxCollider,624,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2119,BoxCollider,629,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2120,BoxCollider,628,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2121,BoxCollider,631,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2122,BoxCollider,630,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2123,BoxCollider,634,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2124,BoxCollider,635,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2125,BoxCollider,633,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2126,BoxCollider,632,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2127,BoxCollider,636,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2128,BoxCollider,637,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2129,BoxCollider,638,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2130,BoxCollider,639,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2131,BoxCollider,610,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2132,BoxCollider,609,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
2133,BoxCollider,608,True,True,"0.0,-0.05000000074505806,0.0","1.0,0.10000000149011612,1.0"
