bundle,game_object_id,mono_id,path,name,layer,local_position,world_position,block_type,is_gamepad_cursor_movable,collider_type,is_trigger,collider_center,collider_size
battle/map/stage_city-ca-da00101.unity3d,619,2489,MapTool/Map/block_root/emptyblock/enter/empty 7_15,empty 7_15,24,"7,2.4,15","7,2.4,15",10,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,620,2490,MapTool/Map/block_root/emptyblock/enter/empty 1_15,empty 1_15,24,"1,2.4,15","1,2.4,15",1,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,617,2491,MapTool/Map/block_root/emptyblock/enter/empty 5_12,empty 5_12,24,"5,1.6,12","5,1.6,12",2,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,618,2492,MapTool/Map/block_root/emptyblock/noenter/empty 5_-1,empty 5_-1,24,"5,0,-1","5,0,-1",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,621,2493,MapTool/Map/block_root/emptyblock/enter/enter-grass/empty 2_8,empty 2_8,24,"2,1.2,8","2,1.2,8",2,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,622,2494,MapTool/Map/block_root/emptyblock/noenter/empty 3_6,empty 3_6,24,"3,-0.8,6","3,-0.8,6",15,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,623,2495,MapTool/Map/block_root/emptyblock/noenter/empty -1_5,empty -1_5,24,"-1,0,5","-1,0,5",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,611,2496,MapTool/Map/block_root/emptyblock/noenter/empty 13_-1,empty 13_-1,24,"13,0.4,-1","13,0.4,-1",28,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,607,2497,MapTool/Map/block_root/emptyblock/enter/empty 13_2,empty 13_2,24,"13,1.6,2","13,1.6,2",2,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
battle/map/stage_city-ca-da00101.unity3d,608,2498,MapTool/Map/block_root/emptyblock/noenter/empty 8_8,empty 8_8,24,"8,0.4,8","8,0.4,8",15,1,BoxCollider,True,"0,-0.05,0","1,0.1,1"
