relative_path,category,reason,duration_seconds,duration,channels,sample_rate,encoding,bitrate,size,source_state,vgmstream_ok
audio/Media/1001162596.wem,likely_music_or_ambience,stereo and at least 60 seconds,270.239,4:30.239 seconds,2,44100 Hz,Custom Vorbis,167 kbps,5674210,wwise_riff,True
audio/Media/100761389.wem,likely_music_or_ambience,stereo and at least 60 seconds,111.0,1:51.000 seconds,2,44100 Hz,Custom Vorbis,191 kbps,2651533,wwise_riff,True
audio/Media/1014685452.wem,likely_music_or_ambience,stereo and at least 60 seconds,79.07900000000001,1:19.079 seconds,2,44100 Hz,Custom Vorbis,162 kbps,1607835,wwise_riff,True
audio/Media/1021317097.wem,likely_music_or_ambience,stereo and at least 60 seconds,91.25,1:31.250 seconds,2,44100 Hz,Custom Vorbis,197 kbps,2247950,wwise_riff,True
audio/Media/1031687532.wem,likely_sfx_or_voice_line,short duration,8.826,0:08.826 seconds,2,44100 Hz,Custom Vorbis,91 kbps,100526,wwise_riff,True
audio/Media/1031952363.wem,likely_music_or_ambience,stereo and at least 60 seconds,80.055,1:20.055 seconds,2,44100 Hz,Custom Vorbis,150 kbps,1504543,wwise_riff,True
audio/Media/1038605511.wem,likely_music_or_ambience,stereo and at least 60 seconds,115.75,1:55.750 seconds,2,44100 Hz,Custom Vorbis,218 kbps,3164673,wwise_riff,True
audio/Media/105504850.wem,likely_music_or_ambience,stereo and at least 60 seconds,144.5,2:24.500 seconds,2,44100 Hz,Custom Vorbis,166 kbps,3012168,wwise_riff,True
audio/Media/10565447.wem,likely_sfx_or_voice_line,short duration,8.5,0:08.500 seconds,2,44100 Hz,Custom Vorbis,120 kbps,128393,wwise_riff,True
audio/Media/1066640034.wem,likely_music_or_ambience,stereo and at least 60 seconds,81.0,1:21.000 seconds,2,44100 Hz,Custom Vorbis,177 kbps,1796337,wwise_riff,True
audio/Media/1068995827.wem,likely_music_or_ambience,stereo and at least 60 seconds,126.5,2:06.500 seconds,2,44100 Hz,Custom Vorbis,199 kbps,3150105,wwise_riff,True
