relative_path,media_id,category,duration_seconds,channels,bitrate,confidence,suggested_title,suggested_filename,bank_types,bank_names,event_names
audio/Media/1001162596.wem,1001162596,likely_music_or_ambience,270.239,2,167 kbps,high,Mus_Scenario_SophiaFull,Mus_Scenario_SophiaFull__1001162596.wem,story_music,Music_Story_SophiaFull.bnk,Play_Mus_Scenario_SophiaFull
audio/Media/100761389.wem,100761389,likely_music_or_ambience,111.0,2,191 kbps,high,Mus_Battle_Elite__Mus_Battle_Elite_1500ms,Mus_Battle_Elite__Mus_Battle_Elite_1500ms__100761389.wem,battle_music,Music_Battle_Elite.bnk,Play_Mus_Battle_Elite|Play_Mus_Battle_Elite_1500ms
audio/Media/1014685452.wem,1014685452,likely_music_or_ambience,79.07900000000001,2,162 kbps,high,Mus_Scenario_IriaSongBA,Mus_Scenario_IriaSongBA__1014685452.wem,story_music,Music_Story_IriaSongBA.bnk,Play_Mus_Scenario_IriaSongBA
audio/Media/1021317097.wem,1021317097,likely_music_or_ambience,91.25,2,197 kbps,high,Mus_Story_Chaos__Mus_Story_Chaos_1500ms,Mus_Story_Chaos__Mus_Story_Chaos_1500ms__1021317097.wem,story_music,Music_Story_Chaos.bnk,Play_Mus_Story_Chaos|Play_Mus_Story_Chaos_1500ms
audio/Media/1031952363.wem,1031952363,likely_music_or_ambience,80.055,2,150 kbps,high,Mus_Scenario_Rift__Mus_Scenario_Rift_1500ms,Mus_Scenario_Rift__Mus_Scenario_Rift_1500ms__1031952363.wem,story_music,Music_Story_Rift.bnk,Play_Mus_Scenario_Rift|Play_Mus_Scenario_Rift_1500ms
audio/Media/1038605511.wem,1038605511,likely_music_or_ambience,115.75,2,218 kbps,high,Mus_Scene_Main__Mus_Story_Lively__Mus_Story_Lively_1500ms,Mus_Scene_Main__Mus_Story_Lively__Mus_Story_Lively_1500ms__1038605511.wem,scene_music|story_music,Music_Scene.bnk|Music_Story_Lively.bnk,Play_Mus_Scene_Main|Play_Mus_Story_Lively|Play_Mus_Story_Lively_1500ms
audio/Media/105504850.wem,105504850,likely_music_or_ambience,144.5,2,166 kbps,high,Mus_Scenario_Rivia_B__Mus_Scenario_Rivia_B_1500ms,Mus_Scenario_Rivia_B__Mus_Scenario_Rivia_B_1500ms__105504850.wem,story_music,Music_Story_Rivia_B.bnk,Play_Mus_Scenario_Rivia_B|Play_Mus_Scenario_Rivia_B__1500ms
audio/Media/1066640034.wem,1066640034,likely_music_or_ambience,81.0,2,177 kbps,high,Mus_Scenario_Templar__Mus_Scenario_Templar_2500ms,Mus_Scenario_Templar__Mus_Scenario_Templar_2500ms__1066640034.wem,story_music,Music_Story_Templar.bnk,Play_Mus_Scenario_Templar|Play_Mus_Scenario_Templar_2500ms
audio/Media/1068995827.wem,1068995827,likely_music_or_ambience,126.5,2,199 kbps,high,Mus_Battle_GeneralB__Mus_Battle_GeneralB_1500ms,Mus_Battle_GeneralB__Mus_Battle_GeneralB_1500ms__1068995827.wem,battle_music,Music_Battle_GeneralB.bnk,Play_Mus_Battle_GeneralB|Play_Mus_Battle_GeneralB_1500ms
audio/Media/118095155.wem,118095155,likely_music_or_ambience,91.5,2,200 kbps,high,Mus_Scene_Main__Mus_Story_Hope_01__Mus_Story_Hope_1_1500ms_01,Mus_Scene_Main__Mus_Story_Hope_01__Mus_Story_Hope_1_1500ms_01__118095155.wem,scene_music|story_music,Music_Scene.bnk|Music_Story_Hope_1.bnk,Play_Mus_Scene_Main|Play_Mus_Story_Hope_01|Play_Mus_Story_Hope_1_1500ms_01
audio/Media/122075770.wem,122075770,likely_music_or_ambience,70.75,2,198 kbps,high,Mus_Scenario_Determination__Mus_Scenario_Determination_1500ms,Mus_Scenario_Determination__Mus_Scenario_Determination_1500ms__122075770.wem,story_music,Music_Story_Determination.bnk,Play_Mus_Scenario_Determination|Play_Mus_Scenario_Determination_1500ms
audio/Media/146815214.wem,146815214,likely_music_or_ambience,86.75,2,190 kbps,high,Mus_Scene_Main__Mus_Story_Friendship__Mus_Story_Friendship_1500ms,Mus_Scene_Main__Mus_Story_Friendship__Mus_Story_Friendship_1500ms__146815214.wem,scene_music|story_music,Music_Scene.bnk|Music_Story_Friendship.bnk,Play_Mus_Scene_Main|Play_Mus_Story_Friendship|Play_Mus_Story_Friendship_1500ms
audio/Media/1476124.wem,1476124,likely_music_or_ambience,143.109,2,179 kbps,high,Mus_Scenario_Rivia_A__Mus_Scenario_Rivia_A_1500ms,Mus_Scenario_Rivia_A__Mus_Scenario_Rivia_A_1500ms__1476124.wem,story_music,Music_Story_Rivia_A.bnk,Play_Mus_Scenario_Rivia_A|Play_Mus_Scenario_Rivia_A_1500ms
